,Unnamed: 0,Column,imdb_title_id,title,year,genre,duration,country,language,director,production_company,budget,usa_gross_income,worlwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income
38,1413,1413,tt0162661,Sleepy Hollow,1999,"Fantasy, Horror, Mystery",105,"Germany, USA","English, Latin",Tim Burton,Paramount Pictures,100000000,101071502,206071502,12.611,4.8,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1123794079,1025467110
39,2141,2141,tt0319061,Big Fish,2003,"Adventure, Drama, Fantasy",125,USA,"English, Cantonese",Tim Burton,Columbia Pictures,70000000,66809693,122919055,13.879,2.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1131845802,1025467110
40,214,214,tt0103776,Batman Returns,1992,"Action, Crime, Fantasy",126,"USA, UK",English,Tim Burton,Warner Bros.,80000000,162902340,266903053,9.685,3.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1341932398,1025467110
41,2380,2380,tt0367594,Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family",115,"UK, USA",English,Tim Burton,Warner Bros.,150000000,206459076,474968763,14.913,3.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1341932398,1025467110
42,3581,3581,tt1077368,Dark Shadows,2012,"Comedy, Fantasy, Horror",113,"USA, Australia, UK",English,Tim Burton,Warner Bros.,150000000,79727149,245527149,16.197,2.2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1341932398,1025467110
43,503,503,tt0109707,Ed Wood,1994,"Biography, Comedy, Drama",127,USA,English,Tim Burton,Touchstone Pictures,18000000,5887457,5887457,10.352,4.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553709788,1025467110
44,3495,3495,tt1014759,Alice in Wonderland,2010,"Adventure, Family, Fantasy",108,USA,English,Tim Burton,Walt Disney Pictures,200000000,334191110,1025467110,15.599,2.6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1332539889,1025467110
45,3668,3668,tt1142977,Frankenweenie,2012,"Animation, Comedy, Family",87,USA,English,Tim Burton,Walt Disney Pictures,39000000,35291068,81491068,16.197,2.2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1332539889,1025467110
46,5025,5025,tt3861390,Dumbo,2019,"Adventure, Family, Fantasy",112,"USA, UK, Australia, Canada","English, French",Tim Burton,Walt Disney Pictures,170000000,114766307,353284621,19.073,2.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1332539889,1025467110
47,829,829,tt0116996,Mars Attacks!,1996,"Comedy, Sci-Fi",106,USA,"English, French",Tim Burton,Tim Burton Productions,70000000,37771017,101371017,11.031,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101371017,1025467110
48,2619,2619,tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,2007,"Drama, Horror, Musical",116,"USA, UK","English, Italian",Tim Burton,DreamWorks,50000000,52898073,152523164,15.626,1.9,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,923075336,1025467110
49,3638,3638,tt1126590,Big Eyes,2014,"Biography, Crime, Drama",106,"USA, Canada","English, French, Italian",Tim Burton,The Weinstein Company,10000000,14482031,29253166,16.912,2.5,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,425368238,1025467110
50,126,126,tt0101786,Dutch,1991,"Comedy, Drama",107,USA,English,Peter Faiman,Twentieth Century Fox,17000000,4603929,4603929,9.355,-0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,4603929
