,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies,Production_company_movies
37,1998,114,30000000,60053195,81471882,12.038,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,81471882,3,187
38,1995,102,20000000,50008143,50008143,10.63,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,50008143,1,187
39,1996,108,50000000,70770147,150270147,11.031,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,546388105,6,187
40,1996,124,25000000,7343114,7343114,11.031,3.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2789968301,46905889,3,187
41,1998,111,15000000,29187243,46905889,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,46905889,3,187
42,1996,92,31000000,25785603,37553752,11.031,3.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,37553752,3,187
43,1996,145,75000000,306169268,817400891,11.031,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,817400891,13,187
44,2004,124,125000000,186740799,542771772,14.406,3.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,817400891,13,187
45,2016,120,165000000,103144286,389681935,17.689,1.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,817400891,13,187
46,2001,104,22000000,4274407,5271666,13.262,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2789968301,5271666,1,187
47,1997,94,50000000,58406347,139804348,11.522,4.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,139804348,5,187
48,1998,108,30000000,26528185,29202884,12.038,4.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,162738726,3,187
49,1998,85,71500000,144156605,294456605,12.038,4.5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,443140005,7,187
50,2006,89,18000000,41011711,68824550,15.338,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,443140005,7,187
51,1997,102,32000000,30882515,79082515,11.522,4.4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,563749323,10,187
52,2000,99,30000000,117559438,173959438,13.130999999999998,4.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,563749323,10,187
53,1997,106,33000000,29022252,30716901,11.522,4.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2789968301,37666766,5,187
