imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,reviews_from_users,reviews_from_critics
tt0278731,Spider,2002,2003-01-03,"Drama, Mystery, Thriller",98,"Canada, UK, France",English,David Cronenberg,"Patrick McGrath, Patrick McGrath",Odeon Films,"Ralph Fiennes, Miranda Richardson, Gabriel Byrne, Lynn Redgrave, John Neville, Bradley Hall, Gary Reineke, Philip Craig, Cliff Saunders, Tara Ellis, Sara Stockbridge, Arthur Whybrow, Nicola Duffett, Jake Nightingale, Alison Egan","A mentally disturbed man takes residence in a halfway house. His mind gradually slips back into the realm created by his illness, where he replays a key part of his childhood.",6.8,34102,10000000,1642483,5808941,216.0,117.0
tt0278823,Hollywood Ending,2002,2002-05-03,"Comedy, Romance",112,USA,"English, Mandarin",Woody Allen,Woody Allen,DreamWorks,"TĂ©a Leoni, Bob Dorian, Ivan Martin, Gregg Edelman, George Hamilton, Treat Williams, Woody Allen, Debra Messing, Neal Huff, Mark Rydell, Douglas McGrath, Stephanie Roth Haberle, Bill Gerber, Roxanne Perry, Barbara Carroll","A director is forced to work with his ex-wife, who left him for the boss of the studio bankrolling his new film. But the night before the first day of shooting, he develops a case of psychosomatic blindness.",6.6,24678,16000000,4850753,14569744,152.0,87.0
tt0279111,Gods and Generals,2003,2003-02-21,"Biography, Drama, History",219,USA,English,Ron Maxwell,"Jeff Shaara, Ron Maxwell",Turner Pictures (I),"Donzaleigh Abernathy, Mark Aldrich, George Allen, Keith Allison, Royce D. Applegate, Bruce Boxleitner, Bo Brinkman, Mac Butler, Robert Byrd, Shane Callahan, Billy Campbell, David Carpenter, John Castle, Jim Choate, Martin Clark","The rise and fall of legendary war hero Thomas ""Stonewall"" Jackson as he leads the Confederacy to great success against the Union from 1861 to 1863.",6.4,14706,56000000,12882934,12923936,504.0,76.0
tt0279113,The Good Girl,2002,2002-08-30,"Drama, Romance",93,"USA, Germany, Netherlands",English,Miguel Arteta,Mike White,Flan de Coco Films,"Jennifer Aniston, Deborah Rush, Mike White, John Carroll Lynch, Jake Gyllenhaal, Zooey Deschanel, John C. Reilly, Tim Blake Nelson, Jacquie Barnbrook, Annie O'Donnell, John Doe, Roxanne Hart, Jon Shere, Alice Amter, Jean Rhodes",A discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of Holden Caulfield.,6.4,41733,8000000,14018296,16860964,297.0,110.0
tt0279286,On the Line,2001,2001-10-26,"Comedy, Family, Romance",85,USA,English,Eric Bross,"Eric Aronson, Paul B. Stanton",A Happy Place,"Lance Bass, Joey Fatone, Emmanuelle Chriqui, GQ, James Bulliard, Al Green, Tamala Jones, Richie Sambora, Amanda Foreman, Dan Montgomery Jr., Dave Foley, Jerry Stiller, David Fraser, Jenny Parsons, Kristin Booth","A shy advertising employee meets his dream girl on the El train, but doesn't remember to get her phone number, resulting in an all-out search for the mystery girl",4.2,3905,16000000,4365455,4544601,78.0,45.0
tt0279331,Dark Blue,2002,2003-07-04,"Crime, Drama, Thriller",118,"USA, UK, Germany",English,Ron Shelton,"James Ellroy, David Ayer",Alphaville Films,"Kurt Russell, Scott Speedman, Michael Michele, Brendan Gleeson, Ving Rhames, Kurupt, Dash Mihok, Jonathan Banks, Lolita Davidovich, Khandi Alexander, Dana Lee, Chapman Way, Marin Hinkle, Jim Cody Williams, Eloy Casados",A robbery homicide investigation triggers a series of events that will cause a corrupt LAPD officer to question his tactics.,6.6,19609,15000000,9250301,12150301,127.0,79.0
tt0279493,Undercover Brother,2002,2003-05-02,"Action, Comedy",86,USA,English,Malcolm D. Lee,"John Ridley, John Ridley",Universal Pictures,"Eddie Griffin, Chris Kattan, Denise Richards, Aunjanue Ellis, Dave Chappelle, Chi McBride, Neil Patrick Harris, Gary Anthony Williams, Billy Dee Williams, Jack Noseworthy, Robert Trumbull, J.D. Hall, William S. Taylor, Shauna MacDonald, Ron Pardo","When ""The Man"" tries to derail a black candidate's presidential campaign, Undercover Brother and his fellow secret agents come to the rescue.",5.8,32397,25000000,39089928,41604473,188.0,73.0
tt0279695,Blackwoods,2001,2001-10-25,"Drama, Mystery, Thriller",92,"Canada, Germany",English,Uwe Boll,"Robert Dean Klein, Uwe Boll",Boll Kino Beteiligungs GmbH & Co. KG,"Patrick Muldoon, Keegan Connor Tracy, Will Sanderson, Michael ParĂ©, Clint Howard, Anthony Harrison, Matthew Walker, Janet Wright, Sean Campbell, Ben Derrick, Michael Eklund, Samantha Ferris, Patricia Dahlquist, Kate Robbins, Nathaniel DeVeaux","Matt is haunted by the death of a girl from a car accident he caused years ago. Matt was drunk and as he reached for the car radio, he struck the girl as she crossed the road. The guilt ...",2.7,2077,3000000,1500,1500,14.0,12.0
tt0279721,The Calling,2002,2002-12-01,Drama,116,USA,English,Damian Chapa,"Damian Chapa, Aaron Pugliese",7 Spirits Entertainment,"Damian Chapa, Robert Wagner, Faye Dunaway, Brad Dourif, Ricco Chapa, London King, Elyse Mirto, Jill St. John, Walker Brandt, Steven Wagner, Nils Allen Stewart, June Buckingham, William McNamara, Lew Sleeman, Pattie McLellan Stephens","The Leroy Jenkins Story, following the controversial life of evangelist Leroy Jenkins",4.5,150,160000,6092,137931,4.0,1.0
tt0279778,Divine Secrets of the Ya-Ya Sisterhood,2002,2002-09-27,Drama,116,USA,English,Callie Khouri,"Rebecca Wells, Mark Andrus",All Girl Productions,"Sandra Bullock, Ellen Burstyn, Fionnula Flanagan, James Garner, Cherry Jones, Ashley Judd, Shirley Knight, Angus Macfadyen, Maggie Smith, Jacqueline McKenzie, Katy Selverstone, Kiersten Warren, David Lee Smith, Gina McKee, Matthew Settle","After years of mother-daughter tension, Siddalee receives a scrapbook detailing the wild adventures of the ""Ya-Yas"", her mother's girlhood friends.",6.1,17464,27000000,69599016,73839240,197.0,94.0
tt0279781,Sorority Boys,2002,2002-03-22,Comedy,93,USA,"English, Indonesian",Wallace Wolodarsky,"Joe Jarvis, Greg Coolidge","Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST)","Barry Watson, Michael Rosenbaum, Harland Williams, Melissa Sagemiller, Tony Denman, Brad Beyer, Kathryn Stockwood, Heather Matarazzo, Yvonne SciĂ˛, Kerri Higuchi, Dublin James, Omar Benson Miller, Mike Beaver, Rich Ronat, Brian Gross","Three rowdy college students are kicked out of their dorm and dress up in drag to live in the DOG house, where the girls deemed unattractive live.",5.5,13332,12000000,10200032,12517488,107.0,53.0
