imdb_title_id,title,year,genre,duration,country,language,director,writer,production_company,actors,budget,usa_gross_income,worlwide_gross_income,reviews_from_users,reviews_from_critics
tt1661382,Grudge Match,2013,"Comedy, Drama, Sport",113,USA,English,Peter Segal,"Tim Kelleher, Rodney Rothman",Callahan Filmworks,"Jim Lampley, Sylvester Stallone, Robert De Niro, Rich Little, Ireland Baldwin, Anthony Bean, Mason Mackie, Kevin Hart, Barry Primus, Oscar Gale, Frederick Douglas Plunkett Jr., BJ Guyer, Jen Kober, Anthony Anderson, Carrie Lazar",40000000,29807260,44907260,128.0,225.0
tt1662293,Nothing Left to Fear,2013,Horror,100,USA,English,Anthony Leonardi III,Jonathan W.C. Mills,Anchor Bay Films,"Anne Heche, James Tupper, Ethan Peck, Rebekah Brandes, Carter Cabassa, Wayne PÄ‚Â©re, Jennifer Stone, Clancy Brown, James C. Victor, Joel K. Berger, J.D. Evermore, John O'Neil, Morgan Roberts, Heather Roop, John Showalter",3000000,7886,1675381,60.0,45.0
tt1663143,Fun Size,2012,"Adventure, Comedy",86,USA,English,Josh Schwartz,Max Werner,Paramount Pictures,"Victoria Justice, Jackson Nicoll, Chelsea Handler, Josh Pence, Jane Levy, Thomas Mann, Thomas McDonell, Carrie Clifford, Barry Livingston, Ele Bardha, Osric Chau, Zamani Munashe, Bobby Thomas, James Pumphrey, Thomas Middleditch",14000000,9409538,11417362,37.0,76.0
tt1663202,The Revenant,2015,"Action, Adventure, Biography",156,"USA, Hong Kong, Taiwan","English, Pawnee, French",Alejandro G. IÄ‚Â±Ä‚Ë‡rritu,"Mark L. Smith, Alejandro G. IÄ‚Â±Ä‚Ë‡rritu",Regency Enterprises,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson, Kristoffer Joner, Joshua Burge, Duane Howard, Melaw Nakehk'o, Fabrice Adde, Arthur RedCloud, Christopher Rosamond, Robert Moloney, Lukas Haas",135000000,183637894,532950503,1498.0,629.0
tt1663207,Life of Crime,2013,"Comedy, Crime",98,USA,English,Daniel Schechter,"Daniel Schechter, Elmore Leonard",Abbolita Productions,"Jennifer Aniston, Yasiin Bey, Isla Fisher, Will Forte, Mark Boone Junior, Tim Robbins, John Hawkes, Clea Lewis, Charlie Tahan, Kevin Corrigan, Leonard Robinson, Kevin Porter Young, Alex Ladove, Jenna Nye, Jill Abramovitz",12000000,265452,1456675,54.0,92.0
tt1663631,Crazy Eyes,2012,Comedy,95,USA,English,Adam Sherman,"Adam Sherman, Dave Reeves",Crazy Eyes,"Lukas Haas, Madeline Zima, Jake Busey, Tania Raymonde, Blake Garrett Rosenthal, Ray Wise, Valerie Mahaffey, Moran Atias, Ned Bellamy, Laura Miro, Regine Nehy, Joshua Thorpe, Harvey Shield, T. Ryan Mooney, Natalie Floyd",10000000,6141,6141,9.0,12.0
tt1663662,Pacific Rim,2013,"Action, Adventure, Sci-Fi",131,USA,"English, Japanese, Cantonese, Mandarin",Guillermo del Toro,"Travis Beacham, Guillermo del Toro",Warner Bros.,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi, Charlie Day, Burn Gorman, Max Martini, Robert Kazinsky, Clifton Collins Jr., Ron Perlman, Brad William Henke, Larry Joe Campbell, Mana Ashida, Santiago Segura, Joe Pingue",190000000,101802906,411002906,1212.0,600.0
tt1666185,All Eyez on Me,2017,"Biography, Drama, Music",139,USA,English,Benny Boom,"Jeremy Haft, Eddie Gonzalez",Morgan Creek Entertainment,"Demetrius Shipp Jr., Danai Gurira, Kat Graham, Hill Harper, Annie Ilonzeh, Lauren Cohan, Keith Robinson, Jamal Woolard, Dominic L. Santana, Cory Hardrict, Clifton Powell, Jamie Hector, Deray Davis, Chris Clarke, Money-B",40000000,44922302,55668698,151.0,124.0
tt1666186,Vampires Suck,2010,Comedy,82,USA,"English, German","Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer",Regency Enterprises,"Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi, Ken Jeong, Anneliese van der Pol, David DeLuise, Kelsey Ledgin, Dave Foley, Jeff Witzke, Crista Flanagan, Nick Eversman, Zane Holtz, Stephanie Fischer, Michael Hanson",20000000,36661504,80547866,194.0,120.0
tt1666801,The Duff,2015,"Comedy, Romance",101,USA,"English, Spanish",Ari Sandel,"Josh A. Cagan, Kody Keplinger",CBS Films,"Mae Whitman, Robbie Amell, Bella Thorne, Bianca A. Santos, Skyler Samuels, Romany Malco, Nick Eversman, Chris Wylde, Ken Jeong, Allison Janney, Rebecca Weil, Seth Meriwether, Erick Chavarria, Brian Dewar McNamara, Benjamin Taylor Davis",8500000,34030343,43528634,140.0,138.0
tt1667310,Deadfall,2012,"Crime, Drama, Thriller",95,"France, USA",English,Stefan Ruzowitzky,Zach Dean,Magnolia Pictures,"Eric Bana, Olivia Wilde, Charlie Hunnam, Dennis Lafond, Patrick Kerton, Kwasi Songui, Kris Kristofferson, Sissy Spacek, John Robinson, Job Daniel, Kate Mara, Jocelyne Zucco, Treat Williams, Jason Cavalier, Maxime Savaria",12000000,66351,1946254,99.0,162.0
tt1667353,Mirror Mirror,2012,"Adventure, Comedy, Drama",106,"USA, Canada",English,Tarsem Singh,"Marc Klein, Jason Keller",Relativity Media,"Julia Roberts, Lily Collins, Armie Hammer, Nathan Lane, Jordan Prentice, Mark Povinelli, Joe Gnoffo, Danny Woodburn, Sebastian Saraceno, Martin Klebba, Ronald Lee Clark, Robert Emms, Mare Winningham, Michael Lerner, Sean Bean",85000000,64935167,183018522,221.0,385.0
tt1667889,Ice Age: Continental Drift,2012,"Animation, Adventure, Comedy",88,USA,English,"Steve Martino, Mike Thurmeier","Michael Berg, Jason Fuchs",Blue Sky Studios,"Aziz Ansari, Joy Behar, Christopher Campbell, Alain Chabat, Ester Dean, Peter Dinklage, Karen Disher, Drake, Jason Fricchione, Nick Frost, Josh Gad, Ben Gleib, George Jacobs, Queen Latifah, Denis Leary",95000000,161321843,877244782,145.0,234.0
tt1670345,Now You See Me,2013,"Crime, Mystery, Thriller",115,"USA, France","English, French",Louis Leterrier,"Ed Solomon, Boaz Yakin",Summit Entertainment,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, MÄ‚Â©lanie Laurent, Morgan Freeman, Michael Caine, Michael Kelly, Common, David Warshofsky, JosÄ‚Â© Garcia, Jessica Lindsey, Caitriona Balfe, Stephanie HonorÄ‚Â©",75000000,117723989,351723989,734.0,400.0
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure, Drama, Fantasy",115,USA,English,Bill Condon,"Melissa Rosenberg, Stephenie Meyer",Summit Entertainment,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser, Ashley Greene, Jackson Rathbone, Kellan Lutz, Nikki Reed, Billy Burke, Chaske Spencer, Mackenzie Foy, Maggie Grace, Jamie Campbell Bower, Christopher Heyerdahl",120000000,292324737,829746820,353.0,328.0
tt1674771,Entourage,2015,Comedy,104,USA,English,Doug Ellin,"Doug Ellin, Doug Ellin",Warner Bros.,"Kevin Connolly, Adrian Grenier, Kevin Dillon, Jerry Ferrara, Jeremy Piven, Emmanuelle Chriqui, Perrey Reeves, Rex Lee, Debi Mazar, Rhys Coiro, Constance Zimmer, Haley Joel Osment, Ronda Rousey, Kid Cudi, Alan Dale",30000000,32363404,49263404,192.0,224.0
tt1674784,Trespass,2011,"Crime, Drama, Thriller",91,"USA, Bulgaria",English,Joel Schumacher,Karl Gajdusek,Millennium Films,"Nicolas Cage, Nicole Kidman, Ben Mendelsohn, Liana Liberato, Cam Gigandet, Jordana Spiro, Dash Mihok, Emily Meade, Nico Tortorella, Brandon Belknap, Terry Milam, Tina Parker, David Maldonado, Nilo Otero, Simona Williams",35000000,24094,9612469,134.0,132.0
tt1675192,Take Shelter,2011,"Drama, Horror, Thriller",121,USA,English,Jeff Nichols,Jeff Nichols,Hydraulx,"Michael Shannon, Jessica Chastain, Tova Stewart, Shea Whigham, Katy Mixon, Natasha Randall, Ron Kennard, Scott Knisley, Robert Longstreet, Heather Caldwell, Sheila Hullihen, John Kloock, Marianna Alacchi, Jacque Jovic, Bob Maines",5000000,1730296,3099314,254.0,340.0
tt1677720,Ready Player One,2018,"Action, Adventure, Sci-Fi",140,"USA, India",English,Steven Spielberg,"Zak Penn, Ernest Cline",Warner Bros.,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Philip Zhao, Win Morisaki, Hannah John-Kamen, Ralph Ineson, Susan Lynch, Clare Higgins, Laurence Spellman, Perdita Weeks",175000000,137690172,582890172,1877.0,561.0
tt1678051,Soldiers of Fortune,2012,"Action, Thriller",94,"Russia, USA",English,Maxim Korostyshevsky,"Alexandre Coscas, Robert Crombie",Globus-film,"Christian Slater, Sean Bean, Ving Rhames, Dominic Monaghan, Colm Meaney, Oksana Korostyshevskaya, Charlie Bewley, Ryan Donowho, Freddy RodrÄ‚Â­guez, James Cromwell, Gennadi Vengerov, Sarah Ann Schultz, Shawn Parsons, Martina Jagodkina, Romuald Makarenko",8000000,38898,1572040,62.0,34.0
